==============================================================================
KITTI Relative Odometry Metrics (Tracking OXTS + Tr_imu_velo)
==============================================================================

GT OXTS: /home/zzy/ME5400/Data_Tracking/training/data_tracking_oxts/training/oxts/0007.txt
Calib  : /home/zzy/ME5400/Data_Tracking/training/data_tracking_calib/training/calib/0007.txt
Lengths(m): 100, 200, 300, 400, 500, 600, 700, 800
Step frames: 10
Timestamp tolerance: 0.200s

Name                         Matched  Segments     Tr.(%)   Rot.(deg/100m)    Tr Gain   Rot Gain
------------------------------------------------------------------------------------------------
Baseline(Offline,NoWeight)       783       150     2.5718           1.8037      0.00%      0.00%
JointOffline                     784       151     2.8668           2.3480    -11.47%    -30.18%

Per-length details:
  [Baseline(Offline,NoWeight)]
    length(m)   Tr.(%)   Rot.(deg/100m)   n_segments
         100    2.8006           2.5225           58
         200    2.7583           1.7356           42
         300    2.5340           1.2604           30
         400    1.7479           0.7836           16
         500    0.8740           0.2500            4
         600       nan              nan            0
         700       nan              nan            0
         800       nan              nan            0
  [JointOffline]
    length(m)   Tr.(%)   Rot.(deg/100m)   n_segments
         100    3.1330           3.1929           58
         200    3.2559           2.3489           43
         300    2.6693           1.6337           30
         400    1.5524           1.0488           16
         500    1.5620           0.6422            4
         600       nan              nan            0
         700       nan              nan            0
         800       nan              nan            0
