==============================================================================
KITTI 相对里程计指标（Tracking OXTS + Tr_imu_velo）
==============================================================================

真值 OXTS: /home/xc/Projects/ME5400/Data_Tracking/training/oxts/0020.txt
标定文件 : /home/xc/Projects/ME5400/Data_Tracking/training/calib/0020.txt
评估段长 : 100, 200, 300, 400, 500, 600, 700, 800 m
起点步长 : 10 帧
时间戳容差: 0.200 s

轨迹名称                         匹配帧数       段数     Tr.(%)   Rot.(deg/100m)      Tr 提升     Rot 提升
--------------------------------------------------------------------------------------------
Baseline                      822      283     2.8814           0.6804      0.00%      0.00%
FAST-LIO+MCTrack              822      283     2.1613           0.5979     24.99%     12.13%
Joint Backend                 822      283     3.5000           0.8406    -21.47%    -23.54%

分段详情：
  [Baseline]
    段长(m)      Tr.(%)   Rot.(deg/100m)     段数
        100       3.1664             0.9648       68
        200       2.8062             0.6353       61
        300       2.7555             0.5794       51
        400       2.6334             0.5800       45
        500       2.7968             0.5476       34
        600       3.0810             0.6013       21
        700       3.3721             0.4300        3
        800          N/A                N/A        0
  [FAST-LIO+MCTrack]
    段长(m)      Tr.(%)   Rot.(deg/100m)     段数
        100       2.2842             0.8831       68
        200       2.1764             0.5278       61
        300       2.1592             0.4803       51
        400       2.0207             0.5055       45
        500       2.0876             0.5244       34
        600       2.1444             0.5054       21
        700       2.1655             0.4207        3
        800          N/A                N/A        0
  [Joint Backend]
    段长(m)      Tr.(%)   Rot.(deg/100m)     段数
        100       5.4218             1.5716       68
        200       3.3036             0.7195       61
        300       2.8685             0.5900       51
        400       2.6919             0.5610       45
        500       2.9500             0.5842       34
        600       2.1953             0.5080       21
        700       2.1607             0.4198        3
        800          N/A                N/A        0
