[rosmaster.main][INFO] 2026-04-09 01:49:09,789: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-04-09 01:49:09,789: Starting ROS Master Node
[xmlrpc][INFO] 2026-04-09 01:49:09,790: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-04-09 01:49:09,790: Started XML-RPC server [http://z790m:11311/]
[xmlrpc][INFO] 2026-04-09 01:49:09,790: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-04-09 01:49:09,790: Master initialized: port[11311], uri[http://z790m:11311/]
[rosmaster.master][INFO] 2026-04-09 01:49:09,805: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:09,805: +PARAM [/roslaunch/uris/host_z790m__38061] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:09,811: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:09,811: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:09,813: +SERVICE [/rosout/get_loggers] /rosout http://z790m:38763/
[rosmaster.master][INFO] 2026-04-09 01:49:09,813: +SERVICE [/rosout/set_logger_level] /rosout http://z790m:38763/
[rosmaster.master][INFO] 2026-04-09 01:49:09,813: +PUB [/rosout_agg] /rosout http://z790m:38763/
[rosmaster.master][INFO] 2026-04-09 01:49:09,814: +SUB [/rosout] /rosout http://z790m:38763/
[rosmaster.master][INFO] 2026-04-09 01:49:18,029: +PUB [/rosout] /gt_path_publisher_16962_1775670558023 http://z790m:35905/
[rosmaster.master][INFO] 2026-04-09 01:49:18,030: +SERVICE [/gt_path_publisher_16962_1775670558023/get_loggers] /gt_path_publisher_16962_1775670558023 http://z790m:35905/
[rosmaster.master][INFO] 2026-04-09 01:49:18,030: +SERVICE [/gt_path_publisher_16962_1775670558023/set_logger_level] /gt_path_publisher_16962_1775670558023 http://z790m:35905/
[rosmaster.master][INFO] 2026-04-09 01:49:18,030: +PUB [/gt_path] /gt_path_publisher_16962_1775670558023 http://z790m:35905/
[rosmaster.master][INFO] 2026-04-09 01:49:18,031: +CACHEDPARAM [/rosout_disable_topics_generation] by /gt_path_publisher_16962_1775670558023
[rosmaster.master][INFO] 2026-04-09 01:49:18,040: +CACHEDPARAM [/rosout_disable_topics_generation] by /gt_path_publisher_16962_1775670558023
[rosmaster.master][INFO] 2026-04-09 01:49:18,042: +CACHEDPARAM [/rosout_disable_topics_generation] by /gt_path_publisher_16962_1775670558023
[rosmaster.master][INFO] 2026-04-09 01:49:18,064: +PUB [/rosout] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,064: +SERVICE [/rviz_1775670558063772362/get_loggers] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,065: +SERVICE [/rviz_1775670558063772362/set_logger_level] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,065: +CACHEDPARAM [/rosout_disable_topics_generation] by /rviz_1775670558063772362
[rosmaster.master][INFO] 2026-04-09 01:49:18,101: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/']
[rosmaster.master][INFO] 2026-04-09 01:49:18,103: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:18,103: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/']
[rosmaster.master][INFO] 2026-04-09 01:49:18,103: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:18,304: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2026-04-09 01:49:18,332: +PARAM [/me5400_seq] by /rosparam-17427
[rosmaster.master][INFO] 2026-04-09 01:49:18,364: +SUB [/tf] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,365: +SUB [/tf_static] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,413: +PUB [/initialpose] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,414: +PUB [/goal] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,421: +SUB [/path] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,422: +SUB [/Odometry] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,424: +SUB [/cloud_registered] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,425: -SUB [/cloud_registered] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,426: +SUB [/cloud_registered] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,427: +SUB [/gt_path] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,429: +SUB [/detection/pointcloud] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,430: +SUB [/visualization_marker_array] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,430: -SUB [/visualization_marker_array] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,431: +SUB [/mctrack/markers] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,432: +SUB [/visualization_marker_array] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,432: -SUB [/visualization_marker_array] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,433: +SUB [/detection/bboxes_3d] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,433: -PUB [/goal] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,433: -PUB [/initialpose] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,435: +PUB [/initialpose] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,436: +PUB [/goal] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,436: +PUB [/move_base_simple/goal] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,436: -PUB [/goal] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,436: +PUB [/clicked_point] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,450: +SERVICE [/rviz_1775670558063772362/reload_shaders] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,450: +SERVICE [/rviz_1775670558063772362/load_config] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,450: +SERVICE [/rviz_1775670558063772362/load_config_discarding_changes] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:18,450: +SERVICE [/rviz_1775670558063772362/save_config] /rviz_1775670558063772362 http://z790m:41003/
[rosmaster.master][INFO] 2026-04-09 01:49:20,199: +PUB [/rosout] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,203: +SERVICE [/kitti_pointpillars_bag_detector_17431_1775670560075/get_loggers] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,204: +SERVICE [/kitti_pointpillars_bag_detector_17431_1775670560075/set_logger_level] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,205: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/']
[rosmaster.master][INFO] 2026-04-09 01:49:20,208: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:20,247: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,249: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,962: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,962: +PUB [/detection/bboxes_3d] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,963: +PUB [/detection/status] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,963: +PUB [/detection/kitti_tracking] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,963: +PUB [/detection/lidar_tracking] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,963: +PUB [/detection/lidar_detections] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,963: +PUB [/detection/pointcloud] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,964: +PUB [/detection/imu] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,964: +SUB [/kitti/velo/pointcloud] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,964: +SUB [/kitti/oxts/imu] /kitti_pointpillars_bag_detector_17431_1775670560075 http://z790m:38931/
[rosmaster.master][INFO] 2026-04-09 01:49:20,964: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,965: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,965: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,965: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:21,008: publisherUpdate[/detection/bboxes_3d] -> http://z790m:41003/ ['http://z790m:38931/']
