[rosmaster.main][INFO] 2026-04-09 01:45:37,337: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-04-09 01:45:37,337: Starting ROS Master Node
[xmlrpc][INFO] 2026-04-09 01:45:37,338: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-04-09 01:45:37,338: Started XML-RPC server [http://z790m:11311/]
[xmlrpc][INFO] 2026-04-09 01:45:37,338: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-04-09 01:45:37,338: Master initialized: port[11311], uri[http://z790m:11311/]
[rosmaster.master][INFO] 2026-04-09 01:45:37,349: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:45:37,349: +PARAM [/roslaunch/uris/host_z790m__39405] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:45:37,384: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:45:37,384: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:45:37,416: +SERVICE [/rosout/get_loggers] /rosout http://z790m:46415/
[rosmaster.master][INFO] 2026-04-09 01:45:37,417: +SERVICE [/rosout/set_logger_level] /rosout http://z790m:46415/
[rosmaster.master][INFO] 2026-04-09 01:45:37,417: +PUB [/rosout_agg] /rosout http://z790m:46415/
[rosmaster.master][INFO] 2026-04-09 01:45:37,419: +SUB [/rosout] /rosout http://z790m:46415/
[rosmaster.master][INFO] 2026-04-09 01:45:45,569: +PUB [/rosout] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:45,569: +SERVICE [/rviz_1775670345567972288/get_loggers] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:45,569: +SERVICE [/rviz_1775670345567972288/set_logger_level] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:45,569: +CACHEDPARAM [/rosout_disable_topics_generation] by /rviz_1775670345567972288
[rosmaster.master][INFO] 2026-04-09 01:45:45,635: +PUB [/rosout] /gt_path_publisher_12525_1775670345529 http://z790m:35549/
[rosmaster.master][INFO] 2026-04-09 01:45:45,636: +SERVICE [/gt_path_publisher_12525_1775670345529/get_loggers] /gt_path_publisher_12525_1775670345529 http://z790m:35549/
[rosmaster.master][INFO] 2026-04-09 01:45:45,637: +SERVICE [/gt_path_publisher_12525_1775670345529/set_logger_level] /gt_path_publisher_12525_1775670345529 http://z790m:35549/
[rosmaster.master][INFO] 2026-04-09 01:45:45,637: +PUB [/gt_path] /gt_path_publisher_12525_1775670345529 http://z790m:35549/
[rosmaster.master][INFO] 2026-04-09 01:45:45,637: +CACHEDPARAM [/rosout_disable_topics_generation] by /gt_path_publisher_12525_1775670345529
[rosmaster.master][INFO] 2026-04-09 01:45:45,648: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/']
[rosmaster.master][INFO] 2026-04-09 01:45:45,650: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:45:45,650: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/']
[rosmaster.master][INFO] 2026-04-09 01:45:45,651: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:45:45,664: +CACHEDPARAM [/rosout_disable_topics_generation] by /gt_path_publisher_12525_1775670345529
[rosmaster.master][INFO] 2026-04-09 01:45:45,669: +CACHEDPARAM [/rosout_disable_topics_generation] by /gt_path_publisher_12525_1775670345529
[rosmaster.master][INFO] 2026-04-09 01:45:45,853: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2026-04-09 01:45:45,903: +SUB [/tf] /rviz_1775670345567972288 http://z790m:41389/
[rosmaster.master][INFO] 2026-04-09 01:45:45,903: +SUB [/tf_static] /rviz_1775670345567972288 http://z790m:41389/
